,DE_rand_1_bin,DE_best_1_bin,PSO,SOMA_all_to_one,SOMA_all_to_all
Ackley,20.941051120819182,20.928816085862003,20.039193261048332,20.05368238751081,20.997347573527648
Alpine01,332.14055515591264,177.50727793597383,1.1858930208349772e-05,27.287518964144073,351.09502081163856
Alpine02,-2.9349501527256113e+28,-1.1058466150274335e+30,-1.532276205283951e+31,-5.818282610221445e+31,-1.5780089578245314e+27
Bohachevsky,37119.16439358625,80.1710323014245,3.2052372649325163,260.57096315022,69993.15210558941
CosineMixture,13227.080425340442,24.317277374964455,-2.330296757518664,97.66804202420379,24777.40667580812
DefCorrSpring,1278.073299189688,2.008540419777351,-0.8633380652437765,38.70859792535776,2440.0604131560262
DixonPrice,858996734.9868045,49536.80562733046,0.6666666666667773,263635.8834513362,2553859281.6490073
Griewank,4.275666463571634,0.715651690535374,0.013272784297659967,0.6511456451912803,7.25282912986469
InvCosineWave,-1.6551389114553492,-2.1488140333763273,-13.91683947678352,-5.833605731451053,-1.3299136634637707
Levy,5921.716728689112,599.3729348016963,106.40650639470825,477.06784839408886,6818.700238534768
Michalewicz_m1,-10.899633716875687,-12.029088049499626,-21.141854566470432,-23.896416856575684,-10.262169196684205
Michalewicz_m10,-7.406573900609985,-8.065353114456892,-10.60228185177442,-14.917409319280335,-6.36300411520386
Mishra07,8.227246865677234e+63,3.902756818241737e+61,4.967286399193678e+55,9.599352863102326e+55,4.93327792957882e+65
Mishra11,4.562251752351004,1.658547281503003e-11,0.00045907658194486685,0.0007370854210073956,7.035141224399782
Pathological,12.130082234346377,11.963099537652726,8.537341756103558,8.557002072308071,12.212932041659466
Rastrigin,737466.5372713939,68.98738939922168,-12696.894405800154,19326.929013311616,1447400.9143498833
Rosenbrock,1707414225.702424,86317.80195684623,83.03797495724994,288250.7423018239,4484133878.8525915
Salomon,12.776608922411492,2.2156560770489206,0.42654003727006445,2.4465806322235997,16.305552766554356
Schwefel22,8.589980928956524e+30,1.8688225967257487e+23,9.338715783562291e-08,174.57091842069636,3.0023401288858014e+32
Schwefel26,7334.6755678581085,2937.965956610562,3210.5222072875154,2897.6317247273355,8048.701811744535
SineEnvelope,-20.861617156844943,-24.413206649860836,-34.64099513821149,-33.38452222033233,-20.709732427041796
StretchedVSine,52.10216201088897,50.03780226805141,0.8776318022421703,3.497119657827512,50.71436942323419
StyblinskiTang,19441083.12251244,-778.6640335837127,-2050.2714983983506,6045.444621144051,51042828.312546
Trigonometric02,12862.575151984052,199.08602696083568,35.983932500062096,421.0169255917938,25452.80095996478
Vincent,-19.023100788815153,-27.51010643498117,-30.0,-29.74938979152097,-18.93835409733511
