,DE_rand_1_bin,DE_best_1_bin,PSO,SOMA_all_to_one,SOMA_all_to_all
Ackley,20.385611310459975,20.244356816002608,18.74024583958154,17.474778409338608,19.936393016986997
Alpine01,22.405725121262194,1.3682023441190443,1.2834505434446087e-08,0.6074046266723825,28.21735969744521
Alpine02,-49089965007.499245,-87916029188.06705,-49068441575.94983,-141566227925.2047,-22702885336.00723
Bohachevsky,3.2917055789952063,0.01566274716408151,0.3212350973567219,1.343064391077472,2182.840468101238
CosineMixture,-0.25328260348707643,-0.990147716618615,-0.9113294495675739,-0.7774095088406333,876.404747573301
DefCorrSpring,-0.7195087112570903,-0.8433397703260412,-0.6292394543953838,0.13835807718421625,91.72568613138709
DixonPrice,2.875361644208761,0.6000001637902999,0.5555555555555552,0.5520787614432972,2097211.1000695694
Griewank,0.641113925423507,0.2084953729782003,0.07937861393322174,0.16382217516840036,1.182386223474738
InvCosineWave,-1.5784037334482117,-4.6742204390675965,-4.049931927074064,-3.4675065041836537,-1.5685317880849396
Levy,4.463543339969312,0.04543240185962583,0.2071235633941873,17.275657046828755,218.4392602036986
Michalewicz_m1,-6.0350551506319565,-7.325221423784094,-8.81733876458018,-9.459263249360166,-6.439412899574905
Michalewicz_m10,-4.414333749371736,-6.017324186030933,-6.2293711432058405,-7.5586469567809385,-4.494877746868026
Mishra07,10146273301.15858,253664486.43132558,8.357969987401089e-16,918.216217439968,98224794270.47835
Mishra11,0.040137371562334954,1.635044821873942e-15,0.00013257823527339948,3.318204525440943e-15,0.04926720379541994
Pathological,3.008145383840719,2.2767779076250743,1.6207413042976868,1.57399623876059,2.85560588332502
Rastrigin,-924.6679023845526,-1669.6572848513472,-1838.1534542451516,-1536.8648461904186,16511.320002594737
Rosenbrock,367.0007012344892,2.041321568172982,32.87528318019496,266.2912912315926,10834251.15799522
Salomon,0.6575219600261054,0.11023286648241774,0.19320667918014428,0.32764433406711224,3.4514290443604834
Schwefel22,168.38044395003217,2.5874359511836174e-05,5.828575821168369e-20,3.785789628276363,34690.66774554831
Schwefel26,770.6556839917755,256.6670875906831,584.428205525726,418.62408169514674,1141.8764779530636
SineEnvelope,-9.901012880086501,-11.437939607762122,-12.81254781074742,-12.705149144226299,-9.122695119564868
StretchedVSine,4.59200578233565,4.187621764095541,0.06876648537364402,0.038863948688617006,3.6980246004419564
StyblinskiTang,-618.8196522525504,-739.9707089928919,-711.6972708964253,-693.7589445122891,192595.13969261936
Trigonometric02,30.813661598708475,2.650952538666705,2.3574751102243026,9.631443209033904,927.2583572942733
Vincent,-9.706079959572204,-9.999999999971003,-10.0,-9.999999782980769,-9.413799063865143
